"Crash Time (Hour)","Single-Vehicle Crash","Two-Vehicle Crash","More Than Two-Vehicle Crash","Total"
"0:00am-0:59am",2186,1223,245,3654
"1:00am-1:59am",2442,1021,249,3712
"2:00am-2:59am",2411,1124,390,3925
"3:00am-3:59am",1602,728,126,2456
"4:00am-4:59am",1296,624,124,2044
"5:00am-5:59am",1279,947,252,2478
"6:00am-6:59am",1508,1371,543,3422
"7:00am-7:59am",1337,1712,592,3641
"8:00am-8:59am",997,1402,504,2903
"9:00am-9:59am",965,1505,470,2940
"10:00am-10:59am",1069,1793,600,3462
"11:00am-11:59am",1083,1823,484,3390
"12:00pm-12:59pm",1250,2178,825,4253
"1:00pm-1:59pm",1364,2321,835,4520
"2:00pm-2:59pm",1555,2729,1037,5321
"3:00pm-3:59pm",1938,3160,1136,6234
"4:00pm-4:59pm",1839,2940,1134,5913
"5:00pm-5:59pm",2184,3139,1076,6399
"6:00pm-6:59pm",2404,2699,911,6014
"7:00pm-7:59pm",2351,2225,803,5379
"8:00pm-8:59pm",2513,2202,583,5298
"9:00pm-9:59pm",2417,1966,559,4942
"10:00pm-10:59pm",2310,1709,494,4513
"11:00pm-11:59pm",2231,1409,375,4015
"Total",42933,43982,14347,101262